Table/View Name,Column Name,Data Type
AOPFirstLevelPlanning,CreatedOn,datetimeoffset
AOPFirstLevelPlanning,CreatedBy,nvarchar
AOPFirstLevelPlanning,ModifiedOn,datetimeoffset
AOPFirstLevelPlanning,ModifiedBy,nvarchar
AOPFirstLevelPlanning,IsDeleted,bit
AOPFirstLevelPlanning,Version,timestamp
AOPSecondLevelPlanning,Id,uniqueidentifier
AOPSecondLevelPlanning,AOPId,uniqueidentifier
AOPSecondLevelPlanning,AOPFLId,uniqueidentifier
AOPSecondLevelPlanning,SLPlanningCode,nvarchar
AOPSecondLevelPlanning,OrganizationUnitId,int
AOPSecondLevelPlanning,OrganizationUnitName,nvarchar
AOPSecondLevelPlanning,PlanningOrgLevel,nvarchar
AOPSecondLevelPlanning,ActivitySPOCId,nvarchar
AOPSecondLevelPlanning,TotalEquivalentCapacity,decimal
AOPSecondLevelPlanning,TotalProjectedPO,decimal
AOPSecondLevelPlanning,TotalProjectedRevenue,decimal
AOPSecondLevelPlanning,Status,nvarchar
AOPSecondLevelPlanning,CreatedOn,datetimeoffset
AOPSecondLevelPlanning,CreatedBy,nvarchar
AOPSecondLevelPlanning,ModifiedOn,datetimeoffset
AOPSecondLevelPlanning,ModifiedBy,nvarchar
AOPSecondLevelPlanning,IsDeleted,bit
AOPSecondLevelPlanning,Version,timestamp
AOPSecondLevelPlanning,DelegateApproval,nvarchar
ApprovalStateDetails,Id,int
ApprovalStateDetails,ApprovalState,nvarchar
ApprovalStateDetails,CreatedOn,datetimeoffset
ApprovalStateDetails,CreatedBy,nvarchar
ApprovalStateDetails,ModifiedOn,datetimeoffset
ApprovalStateDetails,ModifiedBy,nvarchar
ApprovalStateDetails,IsDeleted,bit
ApprovalStateDetails,Version,timestamp
AuditAop,Id,uniqueidentifier
AuditAop,AopId,uniqueidentifier
AuditAop,AOPPlanningCode,nvarchar
AuditAop,CFCycleId,uniqueidentifier
AuditAop,CompanyId,uniqueidentifier
AuditAop,ValueIn,nvarchar
AuditAop,CurrencyId,uniqueidentifier
AuditAop,ActivitySPOCId,nvarchar
AuditAop,POPlanningLevel,nvarchar
AuditAop,ExchangeRate,decimal
AuditAop,TotalEquivalentCapacity,decimal
AuditAop,TotalProjectedPO,decimal
AuditAop,TotalProjectedRevenue,decimal
AuditAop,Status,nvarchar
AuditAop,CfCycleName,nvarchar
AuditAop,PlanningYearId,nvarchar
AuditAop,CfCyclePlanningMonth,nvarchar
AuditAop,CfCycleYear,int
AuditAop,CfCyclePlanningStartDate,datetime
AuditAop,CfCyclePlanningEndate,datetime
AuditAop,CreatedOn,datetimeoffset
AuditAop,CreatedBy,nvarchar
AuditAop,ModifiedOn,datetimeoffset
AuditAop,ModifiedBy,nvarchar
AuditAop,IsDeleted,bit
AuditAop,Version,timestamp
AuditAopFl,Id,uniqueidentifier
AuditAopFl,AOPId,uniqueidentifier
AuditAopFl,AopFlId,uniqueidentifier
AuditAopFl,FLPlanningCode,nvarchar
AuditAopFl,OrganizationUnitId,int
AuditAopFl,OrganizationUnitName,nvarchar
AuditAopFl,PlanningOrgLevel,nvarchar
AuditAopFl,ActivitySPOCId,int
AuditAopFl,TotalEquivalentCapacity,decimal
AuditAopFl,TotalProjectedPO,decimal
AuditAopFl,TotalProjectedRevenue,decimal
AuditAopFl,Status,nvarchar
AuditAopFl,CreatedOn,datetimeoffset
AuditAopFl,CreatedBy,nvarchar
AuditAopFl,ModifiedOn,datetimeoffset
AuditAopFl,ModifiedBy,nvarchar
AuditAopFl,IsDeleted,bit
AuditAopFl,Version,timestamp
AuditAopSl,Id,uniqueidentifier
AuditAopSl,AopSlId,uniqueidentifier
AuditAopSl,AopFlId,uniqueidentifier
AuditAopSl,AOPId,uniqueidentifier
AuditAopSl,SLPlanningCode,nvarchar
AuditAopSl,OrganizationUnitId,int
AuditAopSl,OrganizationUnitName,nvarchar
AuditAopSl,PlanningOrgLevel,nvarchar
AuditAopSl,ActivitySPOCId,nvarchar
AuditAopSl,TotalEquivalentCapacity,decimal
AuditAopSl,TotalProjectedPO,decimal
AuditAopSl,TotalProjectedRevenue,decimal
AuditAopSl,Status,nvarchar
AuditAopSl,CreatedOn,datetimeoffset
AuditAopSl,CreatedBy,nvarchar
AuditAopSl,ModifiedOn,datetimeoffset
AuditAopSl,ModifiedBy,nvarchar
AuditAopSl,IsDeleted,bit
AuditAopSl,Version,timestamp
AuditTable,Id,bigint
AuditTable,ActionBy,nvarchar
AuditTable,Action,nvarchar
AuditTable,CreatedOn,datetime2
