Domain Name,Sub Domain Name,Table/View Name,Column Name,Data Type
Vendor Management,Contract Management,vw_MasterBoschRateCardPivot,GradeType,nvarchar
Vendor Management,Contract Management,vw_MasterBoschRateCardPivot,SkillType,varchar
Vendor Management,Contract Management,OnboardingResourceRequest,Id,uniqueidentifier
Vendor Management,Contract Management,OnboardingResourceRequest,OnboardingRequestId,varchar
Vendor Management,Contract Management,OnboardingResourceRequest,StatusID,int
Vendor Management,Contract Management,OnboardingResourceRequest,IsISPtrainingCompleted,bit
Vendor Management,Contract Management,OnboardingResourceRequest,IsBGVcompletedandPassed,bit
Vendor Management,Contract Management,OnboardingResourceRequest,IsConfirmDeclaration,bit
Vendor Management,Contract Management,OnboardingResourceRequest,FirstApproverNtId,nvarchar
Vendor Management,Contract Management,OnboardingResourceRequest,SecondApproverNtId,nvarchar
Vendor Management,Contract Management,OnboardingResourceRequest,IsFirstLevelApproved,bit
Vendor Management,Contract Management,OnboardingResourceRequest,CreatedOn,datetimeoffset
Vendor Management,Contract Management,OnboardingResourceRequest,CreatedBy,nvarchar
Vendor Management,Contract Management,OnboardingResourceRequest,ModifiedOn,datetimeoffset
Vendor Management,Contract Management,OnboardingResourceRequest,ModifiedBy,nvarchar
Vendor Management,Contract Management,OnboardingResourceRequest,IsDeleted,bit
Vendor Management,Contract Management,OnboardingResourceRequest,BgvStatusID,int
Vendor Management,Contract Management,OnboardingResourceRequest,GbCode,nvarchar
Vendor Management,Contract Management,ProjectXCompetency,Id,uniqueidentifier
Vendor Management,Contract Management,ProjectXCompetency,PlantId,uniqueidentifier
Vendor Management,Contract Management,ProjectXCompetency,EmployeeNumber,bigint
Vendor Management,Contract Management,ProjectXCompetency,SOWJDId,uniqueidentifier
Vendor Management,Contract Management,ProjectXCompetency,SkillsetId,uniqueidentifier
Vendor Management,Contract Management,ProjectXCompetency,GradeId,uniqueidentifier
Vendor Management,Contract Management,ProjectXCompetency,LocationModeId,int
Vendor Management,Contract Management,ProjectXCompetency,CapacityAllocation,decimal
Vendor Management,Contract Management,ProjectXCompetency,Billable,bit
Vendor Management,Contract Management,ProjectXCompetency,BillingStartDate,datetime
Vendor Management,Contract Management,ProjectXCompetency,ValidityStart,datetime
Vendor Management,Contract Management,ProjectXCompetency,ValidityEnd,datetime
Vendor Management,Contract Management,ProjectXCompetency,IsDeleted,bit
Vendor Management,Contract Management,ProjectXCompetency,CreatedOn,datetimeoffset
Vendor Management,Contract Management,ProjectXCompetency,CreatedBy,nvarchar
Vendor Management,Contract Management,ProjectXCompetency,ModifiedOn,datetimeoffset
Vendor Management,Contract Management,ProjectXCompetency,ModifiedBy,nvarchar
Vendor Management,Contract Management,ProjectXCompetency,Version,timestamp
Vendor Management,Contract Management,ProjectXCompetency,GbId,uniqueidentifier
Vendor Management,Contract Management,ProjectXCompetency,SowjdSignOffId,uniqueidentifier
Vendor Management,Contract Management,ProjectXCompetency,ResourcePlanId,uniqueidentifier
Vendor Management,Contract Management,ProjectXCompetency,DeboardingRequestID,nvarchar
